execution_number,question_number,ind_gemma_v2,ind_gemma_v4,ind_llama_v2,ind_llama_v4,seq_gemma_v2,seq_gemma_v4,seq_llama_v2,seq_llama_v4
1,1,0.040816,0.039216,0.027972,0.047619,0.048485,0.016667,0.046512,0.039735
1,2,0.047619,0.347107,0.154762,0.292994,0.055556,0.298137,0.069444,0.355932
1,3,0.331034,0.267606,0.407407,0.400000,0.212766,0.289855,0.402439,0.466667
1,5,0.294118,0.340136,0.483516,0.355872,0.140000,0.141304,0.138158,0.178914
1,8,0.056911,0.061224,0.056225,0.061674,0.061017,0.054475,0.060606,0.050847
1,9,0.336391,0.291815,0.314815,0.186047,0.162896,0.174757,0.123944,0.152941
1,10,0.031746,0.025000,0.015267,0.021053,0.025974,0.028986,0.024096,0.011173
1,11,0.186851,0.226721,0.181818,0.175000,0.178218,0.209059,0.202532,0.195122
1,12,0.156682,0.165354,0.114695,0.111628,0.112360,0.140969,0.115830,0.116129
1,14,0.212903,0.273885,0.164384,0.494624,0.157895,0.180723,0.175824,0.146341
2,1,0.064516,0.030769,0.042857,0.026667,0.025157,0.015152,0.041958,0.049080
2,2,0.043478,0.352000,0.067633,0.347107,0.074074,0.228571,0.161616,0.341463
2,3,0.202899,0.271429,0.526316,0.728571,0.236842,0.338462,0.347826,0.540880
2,5,0.290657,0.276316,0.471042,0.335766,0.124352,0.140351,0.141593,0.129496
2,8,0.074766,0.060150,0.087379,0.082192,0.080645,0.042017,0.057971,0.048193
2,9,0.334346,0.220690,0.268734,0.239203,0.200000,0.159236,0.124224,0.132353
2,10,0.000000,0.021053,0.011364,0.015748,0.022727,0.029851,0.015385,0.010309
2,11,0.177936,0.254545,0.196721,0.198630,0.120219,0.137339,0.169863,0.229730
2,12,0.136585,0.172662,0.096654,0.115942,0.152047,0.135021,0.106061,0.112676
2,14,0.183746,0.341935,0.171429,0.534296,0.134185,0.167630,0.123711,0.131805
3,1,0.039216,0.037736,0.026316,0.035088,0.024096,0.056604,0.033613,0.053571
3,2,0.056180,0.277228,0.051948,0.404145,0.048000,0.328125,0.397059,0.188679
3,3,0.263473,0.285714,0.416667,0.381443,0.263736,0.333333,0.380952,0.375839
3,5,0.297980,0.303030,0.366265,0.384259,0.138889,0.145946,0.145455,0.120482
3,8,0.049587,0.046693,0.048426,0.050279,0.061810,0.079646,0.039735,0.041420
3,9,0.308057,0.251397,0.246014,0.461972,0.160207,0.082051,0.215054,0.152249
3,10,0.018868,0.016949,0.008368,0.009174,0.023529,0.030769,0.033898,0.011429
3,11,0.177370,0.275000,0.159645,0.195219,0.189655,0.103093,0.205479,0.160279
3,12,0.135714,0.142857,0.111111,0.136364,0.135593,0.165939,0.137652,0.215517
3,14,0.176136,0.277487,0.146572,0.533679,0.166667,0.147910,0.158416,0.125392
4,1,0.023669,0.018018,0.027397,0.027027,0.090909,0.051282,0.050420,0.043165
4,2,0.069444,0.299401,0.097778,0.305556,0.329787,0.345865,0.065574,0.308943
4,3,0.234375,0.271429,0.241611,0.329114,0.378788,0.289655,0.471338,0.541176
4,5,0.297398,0.269091,0.529801,0.459119,0.132353,0.139037,0.130548,0.140056
4,8,0.056426,0.092593,0.072000,0.061538,0.052434,0.044053,0.048309,0.052632
4,9,0.371257,0.305556,0.167131,0.329032,0.149254,0.197368,0.177143,0.185430
4,10,0.043011,0.032258,0.000000,0.018018,0.031746,0.032787,0.012739,0.011905
4,11,0.208178,0.237288,0.179641,0.215488,0.124352,0.104712,0.182306,0.196610
4,12,0.088670,0.155102,0.128788,0.103286,0.095808,0.129032,0.121212,0.095238
4,14,0.194175,0.286645,0.139535,0.491582,0.137931,0.151420,0.157895,0.152824
5,1,0.035294,0.023121,0.039216,0.045977,0.046296,0.145455,0.048000,0.026490
5,2,0.063158,0.422764,0.056604,0.310345,0.410959,0.280899,0.171053,0.302158
