execution_number,question_number,ind_gemma_v2,ind_gemma_v4,ind_llama_v2,ind_llama_v4,seq_gemma_v2,seq_gemma_v4,seq_llama_v2,seq_llama_v4
1,1,0.025862,0.024590,0.017857,0.029197,0.029851,0.011236,0.030612,0.025000
1,2,0.050000,0.272727,0.104839,0.203540,0.046875,0.205128,0.050000,0.283784
1,3,0.282353,0.231707,0.323529,0.326316,0.185185,0.256410,0.317308,0.350000
1,5,0.268456,0.292398,0.440000,0.316456,0.181818,0.213115,0.116022,0.147368
1,8,0.032258,0.035928,0.031818,0.035354,0.033835,0.030702,0.034653,0.027692
1,9,0.300546,0.299270,0.283333,0.160000,0.233766,0.163636,0.104265,0.132653
1,10,0.020000,0.014925,0.008475,0.012195,0.015625,0.017857,0.014286,0.006024
1,11,0.182432,0.264151,0.167665,0.135135,0.295082,0.205479,0.182857,0.171123
1,12,0.165049,0.150000,0.096970,0.118812,0.156250,0.141593,0.103448,0.091837
1,14,0.214286,0.272152,0.176471,0.560976,0.162162,0.170455,0.153846,0.139535
2,1,0.040323,0.020202,0.027523,0.016807,0.015625,0.009901,0.026786,0.030303
2,2,0.041667,0.271605,0.042945,0.272727,0.062500,0.152672,0.103896,0.265823
2,3,0.179487,0.237500,0.434783,0.637500,0.195652,0.314286,0.277228,0.434343
2,5,0.253012,0.232044,0.448529,0.304636,0.171429,0.152381,0.111111,0.091837
2,8,0.043243,0.033755,0.050847,0.047368,0.045662,0.023923,0.032389,0.027273
2,9,0.297297,0.219178,0.213992,0.229299,0.289474,0.147059,0.112360,0.140625
2,10,0.000000,0.012195,0.006135,0.008772,0.013333,0.018519,0.008547,0.005525
2,11,0.178571,0.261194,0.182927,0.192053,0.261905,0.173913,0.138393,0.219355
2,12,0.153846,0.146341,0.083871,0.129032,0.228070,0.130081,0.093333,0.121212
2,14,0.204724,0.344156,0.193548,0.611570,0.133758,0.152632,0.103448,0.119171
3,1,0.024590,0.023438,0.015228,0.021429,0.013761,0.040000,0.022727,0.037037
3,2,0.037313,0.177215,0.030303,0.261745,0.037037,0.250000,0.293478,0.161290
3,3,0.205607,0.213115,0.303030,0.276119,0.196721,0.294872,0.296296,0.314607
3,5,0.216117,0.241546,0.260274,0.268608,0.105485,0.109312,0.131579,0.085616
3,8,0.026946,0.026316,0.026042,0.027356,0.033019,0.045685,0.021978,0.022654
3,9,0.233813,0.210280,0.183051,0.388626,0.127572,0.156863,0.222222,0.151724
3,10,0.010753,0.009524,0.004425,0.004878,0.013889,0.019231,0.021739,0.006173
3,11,0.155914,0.245810,0.116129,0.135734,0.159420,0.188679,0.198675,0.157534
