execution_number,question_number,ind_gemma_v2,ind_gemma_v4,ind_llama_v2,ind_llama_v4,seq_gemma_v2,seq_gemma_v4,seq_llama_v2,seq_llama_v4
1,1,0.096774,0.096774,0.064516,0.129032,0.129032,0.032258,0.096774,0.096774
1,2,0.045455,0.477273,0.295455,0.522727,0.068182,0.545455,0.113636,0.477273
1,3,0.400000,0.316667,0.550000,0.516667,0.250000,0.333333,0.550000,0.700000
1,5,0.325203,0.406504,0.536585,0.406504,0.113821,0.105691,0.170732,0.227642
1,8,0.241379,0.206897,0.241379,0.241379,0.310345,0.241379,0.241379,0.310345
1,9,0.381944,0.284722,0.354167,0.222222,0.125000,0.187500,0.152778,0.180556
1,10,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923
1,11,0.191489,0.198582,0.198582,0.248227,0.127660,0.212766,0.226950,0.226950
1,12,0.149123,0.184211,0.140351,0.105263,0.087719,0.140351,0.131579,0.157895
1,14,0.211538,0.275641,0.153846,0.442308,0.153846,0.192308,0.205128,0.153846
2,1,0.161290,0.064516,0.096774,0.064516,0.064516,0.032258,0.096774,0.129032
2,2,0.045455,0.500000,0.159091,0.477273,0.090909,0.454545,0.363636,0.477273
2,3,0.233333,0.316667,0.666667,0.850000,0.300000,0.366667,0.466667,0.716667
2,5,0.341463,0.341463,0.495935,0.373984,0.097561,0.130081,0.195122,0.219512
2,8,0.275862,0.275862,0.310345,0.310345,0.344828,0.172414,0.275862,0.206897
2,9,0.381944,0.222222,0.361111,0.250000,0.152778,0.173611,0.138889,0.125000
2,10,0.000000,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923
2,11,0.177305,0.248227,0.212766,0.205674,0.078014,0.113475,0.219858,0.241135
2,12,0.122807,0.210526,0.114035,0.105263,0.114035,0.140351,0.122807,0.105263
2,14,0.166667,0.339744,0.153846,0.474359,0.134615,0.185897,0.153846,0.147436
3,1,0.096774,0.096774,0.096774,0.096774,0.096774,0.096774,0.064516,0.096774
3,2,0.113636,0.636364,0.181818,0.886364,0.068182,0.477273,0.613636,0.227273
3,3,0.366667,0.433333,0.666667,0.616667,0.400000,0.383333,0.533333,0.466667
3,5,0.479675,0.406504,0.617886,0.674797,0.203252,0.219512,0.162602,0.203252
3,8,0.310345,0.206897,0.344828,0.310345,0.482759,0.310345,0.206897,0.241379
3,9,0.451389,0.312500,0.375000,0.569444,0.215278,0.055556,0.208333,0.152778
3,10,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923
3,11,0.205674,0.312057,0.255319,0.347518,0.234043,0.070922,0.212766,0.163121
3,12,0.166667,0.245614,0.192982,0.157895,0.140351,0.166667,0.149123,0.219298
3,14,0.198718,0.339744,0.198718,0.660256,0.224359,0.147436,0.153846,0.128205
4,1,0.064516,0.032258,0.064516,0.064516,0.225806,0.129032,0.096774,0.096774
4,2,0.113636,0.568182,0.250000,0.500000,0.704545,0.522727,0.136364,0.431818
4,3,0.250000,0.316667,0.300000,0.433333,0.416667,0.350000,0.616667,0.766667
4,5,0.325203,0.300813,0.650407,0.593496,0.146341,0.105691,0.203252,0.203252
4,8,0.310345,0.172414,0.310345,0.206897,0.241379,0.172414,0.172414,0.241379
4,9,0.430556,0.305556,0.208333,0.354167,0.104167,0.208333,0.215278,0.194444
4,10,0.153846,0.076923,0.000000,0.076923,0.076923,0.076923,0.076923,0.076923
4,11,0.198582,0.248227,0.212766,0.226950,0.085106,0.070922,0.241135,0.205674
4,12,0.078947,0.166667,0.149123,0.096491,0.070175,0.122807,0.122807,0.070175
4,14,0.192308,0.282051,0.134615,0.467949,0.141026,0.153846,0.192308,0.147436
5,1,0.096774,0.064516,0.096774,0.129032,0.161290,0.258065,0.096774,0.064516
5,2,0.068182,0.590909,0.136364,0.409091,0.681818,0.568182,0.295455,0.477273
5,3,0.333333,0.283333,0.583333,0.733333,0.383333,0.333333,0.533333,0.333333
5,5,0.398374,0.317073,0.373984,0.569106,0.113821,0.097561,0.195122,0.195122
5,8,0.275862,0.137931,0.241379,0.241379,0.206897,0.310345,0.172414,0.241379
5,9,0.340278,0.250000,0.375000,0.576389,0.062500,0.180556,0.166667,0.194444
5,10,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923
5,11,0.184397,0.226950,0.198582,0.226950,0.056738,0.198582,0.212766,0.170213
5,12,0.105263,0.184211,0.149123,0.105263,0.070175,0.122807,0.140351,0.140351
5,14,0.141026,0.250000,0.153846,0.467949,0.179487,0.173077,0.128205,0.121795
6,1,0.096774,0.032258,0.096774,0.096774,0.129032,0.064516,0.064516,0.096774
6,2,0.045455,0.545455,0.090909,0.386364,0.045455,0.500000,0.159091,0.318182
6,3,0.250000,0.283333,0.600000,0.533333,0.283333,0.366667,0.616667,0.316667
6,5,0.325203,0.260163,0.569106,0.300813,0.146341,0.097561,0.211382,0.235772
6,8,0.344828,0.275862,0.172414,0.241379,0.413793,0.310345,0.172414,0.206897
6,9,0.375000,0.250000,0.534722,0.381944,0.173611,0.201389,0.145833,0.104167
6,10,0.000000,0.000000,0.230769,0.076923,0.076923,0.000000,0.076923,0.076923
6,11,0.163121,0.255319,0.184397,0.262411,0.092199,0.205674,0.241135,0.205674
6,12,0.122807,0.140351,0.157895,0.105263,0.061404,0.078947,0.114035,0.175439
6,14,0.147436,0.314103,0.102564,0.608974,0.153846,0.160256,0.141026,0.160256
7,1,0.064516,0.032258,0.096774,0.096774,0.129032,0.161290,0.064516,0.096774
7,2,0.068182,0.545455,0.159091,0.659091,0.090909,0.659091,0.113636,0.295455
7,3,0.316667,0.333333,0.550000,0.433333,0.300000,0.433333,0.566667,0.500000
7,5,0.308943,0.357724,0.723577,0.593496,0.097561,0.105691,0.162602,0.211382
7,8,0.275862,0.172414,0.310345,0.344828,0.310345,0.241379,0.241379,0.206897
7,9,0.402778,0.284722,0.277778,0.361111,0.166667,0.076389,0.180556,0.145833
7,10,0.076923,0.153846,0.000000,0.076923,0.076923,0.076923,0.076923,0.076923
7,11,0.212766,0.163121,0.198582,0.234043,0.163121,0.092199,0.212766,0.234043
7,12,0.192982,0.131579,0.096491,0.078947,0.078947,0.228070,0.131579,0.149123
